O,15,3104316.31,1.7523955579E7
O,16,3104306.718,1.7524817435E7
K,54,3104875.155,1.7537858809E7
O,17,3105273.332,1.7526451182E7
L,32,3105270.364,1.7545031437E7
L,33,3105176.881,1.7538611645E7
O,18,3104144.661,1.7525107444E7
M,47,3104455.432,1.7523342223E7
P,14,3104300.461,1.7528764095E7
M,48,3104291.487,1.7532168896E7
P,15,3105167.222,1.7534219898E7
M,49,3104633.812,1.7529933541E7
P,16,3104691.709,1.7535201302E7
K,55,3104769.932,1.7542344185E7
L,34,3104482.623,1.7544997103E7
O,19,3105011.158,1.754595712E7
N,28,3104573.363,1.7538392602E7
N,29,3105333.922,1.7551015996E7
P,17,3104943.273,1.7528318882E7
L,35,3104295.508,1.7539949018E7
K,56,3104726.169,1.7541975445E7
M,50,3105283.812,1.7526345427E7
K,57,3104519.806,1.7549254503E7
Q,21,3105605.697,1.7534982855E7
K,58,3104855.403,1.7543403782E7
P,18,3105210.118,1.752455091E7
K,59,3104974.607,1.7540319276E7
O,20,3105529.246,1.7523536182E7
M,51,3105330.846,1.7522582665E7
K,60,3104950.518,1.7551148506E7
M,52,3105237.443,1.7518638344E7
P,19,3105551.162,1.7529254216E7
K,61,3104892.111,1.7548387159E7
L,36,3105659.395,1.7547274847E7
K,62,3105552.703,1.7548902171E7
K,63,3105506.387,1.7537790941E7
N,30,3105770.241,1.7545226464E7
N,31,3106173.164,1.7541266905E7
L,37,3105991.021,1.7535283638E7
P,20,3106224.143,1.7524661454E7
N,32,3105803.045,1.7543663434E7
K,64,3106274.376,1.7539787641E7
N,33,3106171.57,1.7551318299E7
P,21,3105579.432,1.7526729235E7
L,38,3106634.817,1.7538266132E7
N,34,3106539.179,1.7541650253E7
L,39,3106607.673,1.753546632E7
Q,22,3106612.833,1.7531537307E7
L,40,3105900.927,1.7546006288E7
N,35,3105976.946,1.7540209051E7
K,65,3106415.17,1.7550303374E7
N,36,3106990.577,1.7544132159E7
K,66,3107174.194,1.7548707499E7
K,67,3107155.931,1.7549569456E7
L,41,3106094.172,1.7535914304E7
K,68,3106974.49,1.7544391314E7
L,42,3106037.858,1.7547933057E7
Q,23,3106365.914,1.7532021131E7
K,69,3106596.182,1.7546106076E7
K,70,3106202.278,1.7542758172E7
K,71,3107114.409,1.7544580344E7
K,72,3106558.808,1.7538973441E7
L,43,3106935.788,1.7536213533E7
L,44,3106618.965,1.7537914571E7
L,45,3106702.908,1.7534853367E7
Q,24,3106829.594,1.7526673476E7
N,37,3106855.118,1.7541368785E7
M,53,3106521.376,1.7530541725E7
L,46,3106478.283,1.7546275673E7
L,47,3107042.55,1.7534878973E7
Q,25,3107204.095,1.7531619569E7
K,73,3107112.818,1.7548128803E7
K,74,3107500.435,1.7544147897E7
L,48,3107598.021,1.7536113199E7
N,38,3106867.959,1.7550985528E7
K,75,3106306.402,1.7549662806E7
K,76,3107576.975,1.7539883962E7
N,39,3107162.734,1.7542815695E7
Q,26,3107343.058,1.752627072E7
K,77,3107713.439,1.7546257105E7
L,49,3107933.909,1.7536946601E7
M,54,3107841.081,1.752965475E7
N,40,3108013.352,1.7549795083E7
N,41,3108493.459,1.7542837456E7
K,78,3108461.841,1.7547512593E7
L,50,3107967.599,1.7538399821E7
L,51,3108236.409,1.7534572174E7
L,52,3108535.028,1.7535461789E7
L,53,3108545.667,1.7533427661E7
K,79,3108472.423,1.7545132327E7
N,42,3108142.348,1.7549667636E7
L,54,3108445.307,1.7528161743E7
N,43,3108338.42,1.7541357704E7
L,55,3107981.022,1.7533778871E7
Q,27,3108411.363,1.7532040176E7
L,56,3108880.773,1.7536762927E7
K,80,3108643.403,1.7539908021E7
